P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	469.393	0	0.299874	8.20907e+09	9.92927e+08	9.39276e+08	2.35416e+08	3.01612e+08	6.19983e+08	1.01066e+08	1.00671e+08	1.5861e+08	8.85558e+08	1.43207e+08	1.36965e+08	8.9035e+07	1.2674e+08	7.0309e+06
H.m.rosina	H.timareta	H.cydno	268.345	0	-2.98743	8.20907e+09	9.39276e+08	9.92927e+08	2.35416e+08	3.01612e+08	6.19983e+08	1.5861e+08	1.36965e+08	1.01066e+08	8.85558e+08	8.9035e+07	1.00671e+08	1.43207e+08	1.2674e+08	7.0309e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	506.717	0	0.360194	8.29148e+09	8.58169e+08	1.02205e+09	2.16089e+08	2.58897e+08	6.43775e+08	1.01375e+08	9.30834e+07	1.65956e+08	8.95986e+08	1.33702e+08	1.5962e+08	9.65567e+07	1.29579e+08	6.85269e+06
H.m.rosina	H.timareta	H.cydno	221.449	0	4.46998	8.29148e+09	1.02205e+09	8.58169e+08	2.16089e+08	2.58897e+08	6.43775e+08	1.65956e+08	1.5962e+08	1.01375e+08	8.95986e+08	9.65567e+07	9.30834e+07	1.33702e+08	1.29579e+08	6.85269e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	456.604	0	0.249578	7.95514e+09	1.04693e+09	9.76287e+08	2.63553e+08	3.66937e+08	5.84652e+08	9.83474e+07	9.7872e+07	1.53292e+08	8.51444e+08	1.42382e+08	1.30713e+08	8.79743e+07	1.20675e+08	7.35488e+06
H.m.rosina	H.timareta	H.cydno	304.745	0	-0.993289	7.95514e+09	9.76287e+08	1.04693e+09	2.63553e+08	3.66937e+08	5.84652e+08	1.53292e+08	1.30713e+08	9.83474e+07	8.51444e+08	8.79743e+07	9.7872e+07	1.42382e+08	1.20675e+08	7.35488e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	526.394	0	0.420543	8.45137e+09	7.46442e+08	1.04805e+09	1.98328e+08	2.17042e+08	6.6834e+08	1.00619e+08	8.6355e+07	1.71532e+08	9.1659e+08	1.27169e+08	1.74888e+08	1.00603e+08	1.33516e+08	6.63784e+06
H.m.rosina	H.timareta	H.cydno	144.362	0	1.6074	8.45137e+09	1.04805e+09	7.46442e+08	1.98328e+08	2.17042e+08	6.6834e+08	1.71532e+08	1.74888e+08	1.00619e+08	9.1659e+08	1.00603e+08	8.6355e+07	1.27169e+08	1.33516e+08	6.63784e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	487.149	0	0.330835	8.30362e+09	8.71531e+08	1.0339e+09	2.24096e+08	2.75364e+08	6.33263e+08	1.01298e+08	9.20523e+07	1.6201e+08	8.98184e+08	1.34667e+08	1.50692e+08	9.74366e+07	1.29038e+08	6.95143e+06
H.m.rosina	H.timareta	H.cydno	246.303	0	-44.1331	8.30362e+09	1.0339e+09	8.71531e+08	2.24096e+08	2.75364e+08	6.33263e+08	1.6201e+08	1.50692e+08	1.01298e+08	8.98184e+08	9.74366e+07	9.20523e+07	1.34667e+08	1.29038e+08	6.95143e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	497.173	0	0.345004	8.28811e+09	9.04004e+08	9.72405e+08	2.20094e+08	2.66772e+08	6.4342e+08	1.01273e+08	9.68159e+07	1.63859e+08	8.96071e+08	1.37121e+08	1.52286e+08	9.26689e+07	1.29846e+08	6.87685e+06
H.m.rosina	H.timareta	H.cydno	235.299	0	9.85399	8.28811e+09	9.72405e+08	9.04004e+08	2.20094e+08	2.66772e+08	6.4342e+08	1.63859e+08	1.52286e+08	1.01273e+08	8.96071e+08	9.26689e+07	9.68159e+07	1.37121e+08	1.29846e+08	6.87685e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
