P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xbirref	Xmaculatus	Xalvarezi	-22.0101	1	2.32711	2.44822e+06	683647	582446	101129	193004	14498.3	122099	5533.38	158871	1.47568e+06	311941	5603.12	241270	9417.88	4046.38
Xmaculatus	Xbirref	Xalvarezi	34.5621	0	0.733583	2.44822e+06	683647	14498.3	122099	5533.38	582446	101129	193004	158871	1.47568e+06	311941	5603.12	9417.88	241270	4046.38
Xmaculatus	Xbirref	Xandersi	17.1041	0	-0.0325052	3.04322e+06	128910	16774.9	243046	3087.75	899510	37642.6	60204	31176.1	1.97796e+06	58140.5	4906.75	10714.2	483529	2743
Xbirref	Xandersi	Xmaculatus	17.6426	0	0.970383	3.04322e+06	899510	128910	37642.6	60204	16774.9	31176.1	4906.75	243046	1.97796e+06	483529	3087.75	58140.5	10714.2	2743
Xmaculatus	Xbirref	Xbirchmanni_GARC	9.83617	0	-0.00815865	3.12923e+06	58973.2	5288.81	304559	1289.62	1.00343e+06	15205.7	26944.4	12864.1	2.07828e+06	24355.1	1577.88	3213.88	592532	1024.88
Xbirref	Xbirchmanni_GARC	Xmaculatus	9.91577	0	0.992036	3.12923e+06	1.00343e+06	58973.2	15205.7	26944.4	5288.81	12864.1	1577.88	304559	2.07828e+06	592532	1289.62	24355.1	3213.88	1024.88
Xmaculatus	Xbirref	Xclemenciae_F2	22.1664	0	-0.0362348	3.07025e+06	106631	16818	257127	3216.75	923183	33629.9	54796.4	25814.8	2.01061e+06	45098.8	5348.5	10336.2	511806	2906.75
Xbirref	Xclemenciae_F2	Xmaculatus	22.9416	0	0.967318	3.07025e+06	923183	106631	33629.9	54796.4	16818	25814.8	5348.5	257127	2.01061e+06	511806	3216.75	45098.8	10336.2	2906.75
Xmaculatus	Xbirref	Xcontinens	12.4683	0	-0.0146972	3.10516e+06	75530	11447.8	274915	2241.5	961655	22891.3	38504.9	19240.9	2.03829e+06	35440.6	3519.5	6866	540885	2012.25
Xbirref	Xcontinens	Xmaculatus	12.6489	0	0.985924	3.10516e+06	961655	75530	22891.3	38504.9	11447.8	19240.9	3519.5	274915	2.03829e+06	540885	2241.5	35440.6	6866	2012.25
Xmaculatus	Xbirref	Xcortezi	10.5317	0	-0.0146567	3.0694e+06	107777	9117.75	266879	2072.5	933909	28101.6	50506.4	24652.4	2.01058e+06	47202.6	2836.75	5488.25	522138	1749.5
Xbirref	Xcortezi	Xmaculatus	10.6839	0	0.985961	3.0694e+06	933909	107777	28101.6	50506.4	9117.75	24652.4	2836.75	266879	2.01058e+06	522138	2072.5	47202.6	5488.25	1749.5
Xmaculatus	Xbirref	Xcouchianus	13.1863	0	-0.0327332	2.97351e+06	194060	16120.7	229608	3511.88	852372	48544.9	82771.2	42805.9	1.92914e+06	81662.9	4996.88	10565.4	455973	3021.88
Xbirref	Xcouchianus	Xmaculatus	13.6043	0	0.970194	2.97351e+06	852372	194060	48544.9	82771.2	16120.7	42805.9	4996.88	229608	1.92914e+06	455973	3511.88	81662.9	10565.4	3021.88
